# Filename: ILATM2_20171125_202918_smooth_nadir3seg_50pt.csv
# Input filename: ILATMW1B_20171125_202918.atm6AT6.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 171125_aa_l12_cfm_itrf14_08jan18_sawh_roth_amu2
# International Terrestrial Reference Frame: ITRF14
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
73700.00, -72.917710, 268.993286, 599.0449, 0.0085394, 0.0205722, 13.27, 1318, 10, 357, 1
73700.00, -72.915842, 268.985890, 594.4701, 0.0108303, 0.0321058, 7.93, 486, 3, 39, 2
73700.00, -72.913975, 268.978495, 588.5794, 0.0159335, 0.0388314, 12.82, 1199, 0, -280, 3
73700.00, -72.915615, 268.984991, 593.8468, 0.0112420, 0.0331925, 4.12, 130, 0, 0, 0
73700.25, -72.917492, 268.993907, 599.7292, 0.0093940, 0.0204651, 14.95, 1418, 0, 357, 1
73700.25, -72.915623, 268.986509, 595.4082, 0.0130378, 0.0330665, 8.93, 470, 2, 38, 2
73700.25, -72.913753, 268.979111, 589.7433, 0.0179050, 0.0397871, 13.62, 1234, 1, -281, 3
73700.25, -72.915399, 268.985624, 594.8254, 0.0130681, 0.0340267, 4.98, 121, 1, 0, 0
73700.50, -72.917273, 268.994534, 600.4544, 0.0104628, 0.0203458, 16.27, 1466, 2, 357, 1
73700.50, -72.915403, 268.987130, 596.3890, 0.0134810, 0.0321749, 9.08, 452, 2, 38, 2
73700.50, -72.913534, 268.979726, 590.9713, 0.0197458, 0.0407051, 14.40, 1280, 1, -281, 3
73700.50, -72.915183, 268.986257, 595.8417, 0.0137577, 0.0329481, 5.68, 98, 0, 0, 0
73700.75, -72.917055, 268.995155, 601.2040, 0.0109593, 0.0195266, 16.31, 1470, 6, 356, 1
73700.75, -72.915184, 268.987749, 597.4148, 0.0156308, 0.0329472, 9.14, 469, 9, 37, 2
73700.75, -72.913313, 268.980342, 592.2464, 0.0208469, 0.0410326, 14.84, 1327, 5, -282, 3
73700.75, -72.914967, 268.986890, 596.9071, 0.0162132, 0.0338404, 6.06, 106, 0, 0, 0
73701.00, -72.916837, 268.995782, 601.9667, 0.0120933, 0.0192439, 16.22, 1458, 9, 356, 1
73701.00, -72.914965, 268.988371, 598.4892, 0.0170777, 0.0326450, 11.61, 512, 1, 37, 2
73701.00, -72.913093, 268.980961, 593.5630, 0.0213740, 0.0411164, 15.86, 1319, 0, -283, 3
73701.00, -72.914750, 268.987523, 598.0396, 0.0176859, 0.0338963, 6.19, 123, 0, 0, 0
73701.25, -72.916620, 268.996406, 602.7435, 0.0128785, 0.0186580, 15.78, 1487, 8, 356, 1
73701.25, -72.914747, 268.988997, 599.6099, 0.0189057, 0.0328115, 8.99, 490, 4, 36, 2
73701.25, -72.912874, 268.981587, 594.9209, 0.0218860, 0.0415444, 17.12, 1300, 0, -283, 3
73701.25, -72.914534, 268.988156, 599.2045, 0.0196138, 0.0336137, 5.79, 123, 0, 0, 0
73701.50, -72.916402, 268.997039, 603.5258, 0.0136089, 0.0180962, 15.66, 1455, 6, 356, 1
73701.50, -72.914529, 268.989623, 600.7433, 0.0202206, 0.0326021, 10.31, 474, 8, 36, 2
73701.50, -72.912655, 268.982207, 596.2921, 0.0219061, 0.0416718, 18.35, 1304, 0, -284, 3
73701.50, -72.914318, 268.988789, 600.3809, 0.0212416, 0.0334558, 5.67, 122, 0, 0, 0
73701.75, -72.916186, 268.997666, 604.3261, 0.0143467, 0.0173168, 15.14, 1367, 10, 355, 1
73701.75, -72.914310, 268.990247, 601.9134, 0.0221649, 0.0327075, 10.06, 499, 5, 36, 2
73701.75, -72.912434, 268.982828, 597.6661, 0.0217498, 0.0416358, 18.90, 1303, 0, -284, 3
73701.75, -72.914102, 268.989422, 601.5930, 0.0227737, 0.0335322, 4.42, 127, 0, 0, 0
73702.00, -72.915970, 268.998292, 605.1410, 0.0153949, 0.0166815, 16.00, 1391, 6, 355, 1
73702.00, -72.914092, 268.990872, 603.1176, 0.0231118, 0.0320506, 9.91, 511, 3, 35, 2
73702.00, -72.912214, 268.983452, 599.0385, 0.0218569, 0.0418614, 19.14, 1264, 0, -285, 3
73702.00, -72.913885, 268.990056, 602.8447, 0.0244787, 0.0336114, 4.22, 130, 0, 0, 0
73702.25, -72.915751, 268.998920, 605.9645, 0.0162830, 0.0157842, 17.05, 1432, 4, 355, 1
73702.25, -72.913873, 268.991496, 604.3386, 0.0237946, 0.0313492, 9.42, 506, 8, 35, 2
73702.25, -72.911994, 268.984071, 600.3951, 0.0214241, 0.0415902, 19.66, 1297, 0, -285, 3
73702.25, -72.913669, 268.990690, 604.1017, 0.0245152, 0.0325225, 4.75, 129, 0, 0, 0
73702.50, -72.915533, 268.999554, 606.8135, 0.0177733, 0.0152360, 18.06, 1460, 0, 355, 1
73702.50, -72.913655, 268.992123, 605.5731, 0.0248314, 0.0310765, 9.97, 512, 2, 34, 2
73702.50, -72.911776, 268.984692, 601.7472, 0.0209741, 0.0414323, 20.60, 1284, 0, -286, 3
73702.50, -72.913453, 268.991324, 605.3788, 0.0257526, 0.0329111, 3.14, 135, 0, 0, 0
73702.75, -72.915317, 269.000183, 607.7019, 0.0184345, 0.0135168, 17.52, 1457, 7, 355, 1
73702.75, -72.913437, 268.992751, 606.7880, 0.0242557, 0.0296822, 11.30, 418, 1, 34, 2
73702.75, -72.911557, 268.985319, 603.0840, 0.0208060, 0.0413581, 20.28, 1276, 0, -286, 3
73702.75, -72.913236, 268.991959, 606.6648, 0.0253630, 0.0321830, 3.44, 108, 0, 0, 0
73703.00, -72.915102, 269.000819, 608.5709, 0.0194780, 0.0123199, 15.47, 1405, 16, 355, 1
73703.00, -72.913220, 268.993383, 608.0289, 0.0260503, 0.0303691, 12.88, 203, 1, 34, 2
73703.00, -72.911338, 268.985947, 604.4359, 0.0206246, 0.0415542, 19.37, 1240, 0, -287, 3
73703.00, -72.913020, 268.992593, 607.9494, 0.0259383, 0.0326014, 4.61, 53, 0, 0, 0
73703.25, -72.914885, 269.001450, 609.4656, 0.0208532, 0.0113280, 15.23, 1336, 9, 355, 1
73703.25, -72.913002, 268.994012, 609.3528, 0.0271214, 0.0292306, 10.75, 87, 1, 34, 2
73703.25, -72.911119, 268.986574, 605.8822, 0.0193151, 0.0420496, 17.83, 1109, 0, -287, 3
73703.50, -72.914669, 269.002081, 610.4023, 0.0215181, 0.0092952, 13.72, 1255, 7, 355, 1
73703.50, -72.912784, 268.994640, 610.6107, 0.0269203, 0.0284080, 12.58, 87, 0, 34, 2
73703.50, -72.910899, 268.987199, 607.2967, 0.0173264, 0.0417726, 17.58, 988, 0, -288, 3
73703.75, -72.914452, 269.002710, 611.2704, 0.0214514, 0.0072908, 12.81, 1155, 4, 354, 1
73703.75, -72.912564, 268.995261, 611.8585, 0.0272629, 0.0285035, 13.66, 86, 0, 33, 2
73703.75, -72.910677, 268.987811, 608.6582, 0.0157845, 0.0417056, 17.29, 898, 0, -288, 3
73704.00, -72.914232, 269.003336, 612.0776, 0.0223350, 0.0066605, 13.07, 1001, 3, 354, 1
73704.00, -72.912343, 268.995876, 613.1218, 0.0282433, 0.0289503, 14.05, 87, 0, 32, 2
73704.00, -72.910453, 268.988415, 609.9635, 0.0153348, 0.0421944, 17.38, 819, 0, -290, 3
73704.25, -72.914013, 269.003954, 612.9757, 0.0232665, 0.0051839, 12.80, 935, 3, 353, 1
73704.25, -72.912121, 268.996491, 614.3381, 0.0253080, 0.0275773, 18.11, 151, 0, 31, 2
73704.25, -72.910230, 268.989027, 611.2950, 0.0139709, 0.0421966, 17.10, 765, 2, -291, 3
73704.25, -72.911938, 268.995767, 614.2971, 0.0250234, 0.0301027, 3.44, 52, 1, 0, 0
73704.50, -72.913793, 269.004568, 613.8549, 0.0244824, 0.0040420, 13.87, 862, 11, 352, 1
73704.50, -72.911901, 268.997108, 615.4889, 0.0246157, 0.0267276, 21.63, 339, 0, 30, 2
73704.50, -72.910008, 268.989648, 611.9005, 0.0169320, 0.0388644, 24.42, 744, 0, -292, 3
73704.50, -72.911721, 268.996402, 615.5165, 0.0244652, 0.0294672, 2.87, 93, 0, 0, 0
73704.75, -72.913574, 269.005192, 614.7718, 0.0261901, 0.0029111, 15.07, 830, 18, 352, 1
73704.75, -72.911682, 268.997736, 616.6408, 0.0252483, 0.0268542, 23.03, 480, 0, 30, 2
73704.75, -72.909790, 268.990279, 613.0284, 0.0180391, 0.0390722, 24.19, 747, 0, -292, 3
73704.75, -72.911505, 268.997037, 616.7264, 0.0248145, 0.0292983, 2.62, 123, 0, 0, 0
73705.00, -72.913365, 269.005847, 615.6329, 0.0291443, 0.0033356, 18.77, 921, 2, 353, 1
73705.00, -72.911469, 268.998384, 617.8020, 0.0248722, 0.0259279, 24.27, 515, 0, 31, 2
73705.00, -72.909574, 268.990921, 614.2262, 0.0182932, 0.0392234, 21.78, 771, 10, -292, 3
73705.00, -72.911289, 268.997673, 617.9115, 0.0240796, 0.0283361, 3.11, 138, 0, 0, 0
73705.25, -72.913151, 269.006500, 616.5011, 0.0292581, 0.0013486, 20.66, 949, 6, 354, 1
73705.25, -72.911255, 268.999029, 618.9394, 0.0251968, 0.0253075, 25.50, 499, 0, 31, 2
73705.25, -72.909359, 268.991559, 615.4260, 0.0175151, 0.0385942, 20.43, 822, 0, -291, 3
73705.25, -72.911072, 268.998309, 619.0682, 0.0241746, 0.0275965, 4.14, 128, 0, 0, 0
73705.50, -72.912935, 269.007139, 617.3441, 0.0301614, 0.0001957, 21.89, 953, 11, 354, 1
73705.50, -72.911041, 268.999673, 620.0569, 0.0247515, 0.0241042, 25.81, 490, 0, 31, 2
73705.50, -72.909146, 268.992207, 616.6057, 0.0165005, 0.0378297, 19.00, 822, 5, -291, 3
73705.50, -72.910856, 268.998945, 620.2019, 0.0231147, 0.0261008, 3.48, 119, 1, 0, 0
73705.75, -72.912711, 269.007743, 618.1479, 0.0307009, -0.0005275, 24.01, 1028, 1, 352, 1
73705.75, -72.910822, 269.000301, 621.1322, 0.0237626, 0.0227732, 26.73, 510, 0, 31, 2
73705.75, -72.908933, 268.992859, 617.7601, 0.0161294, 0.0375373, 16.88, 854, 8, -290, 3
73705.75, -72.910639, 268.999582, 621.3060, 0.0229464, 0.0256224, 2.91, 128, 1, 0, 0
73706.00, -72.912474, 269.008298, 618.9819, 0.0300244, -0.0024172, 23.59, 1008, 3, 349, 1
73706.00, -72.910606, 269.000938, 622.1895, 0.0239212, 0.0221917, 27.40, 511, 0, 31, 2
73706.00, -72.908738, 268.993578, 618.9326, 0.0145040, 0.0361314, 17.84, 888, 0, -287, 3
73706.00, -72.910423, 269.000218, 622.3830, 0.0227158, 0.0245538, 2.74, 131, 0, 0, 0
73706.25, -72.912251, 269.008905, 619.7236, 0.0299380, -0.0038972, 24.35, 916, 1, 348, 1
73706.25, -72.910402, 269.001624, 623.2236, 0.0239112, 0.0211706, 27.87, 520, 0, 33, 2
73706.25, -72.908553, 268.994344, 620.1025, 0.0135093, 0.0356226, 19.22, 912, 3, -281, 3
73706.25, -72.910207, 269.000854, 623.4336, 0.0229458, 0.0237477, 2.65, 141, 2, 0, 0
73706.50, -72.912085, 269.009742, 620.2234, 0.0293732, -0.0062545, 23.84, 861, 2, 356, 1
73706.50, -72.910196, 269.002303, 624.1859, 0.0228744, 0.0193470, 30.25, 532, 0, 35, 2
73706.50, -72.908307, 268.994865, 621.0468, 0.0119312, 0.0350867, 22.08, 910, 0, -286, 3
73706.50, -72.909990, 269.001492, 624.4359, 0.0220213, 0.0217617, 5.55, 138, 0, 0, 0
73706.75, -72.911883, 269.010427, 620.7859, 0.0293307, -0.0076178, 23.12, 874, 5, 359, 1
73706.75, -72.909979, 269.002937, 625.0985, 0.0222912, 0.0182089, 31.07, 525, 0, 35, 2
73706.75, -72.908075, 268.995448, 621.9807, 0.0099657, 0.0343008, 23.75, 883, 0, -289, 3
73706.75, -72.909773, 269.002128, 625.3827, 0.0214759, 0.0203891, 6.27, 128, 0, 0, 0
73707.00, -72.911666, 269.011067, 621.4205, 0.0298073, -0.0089390, 22.60, 865, 9, 359, 1
73707.00, -72.909762, 269.003570, 625.9710, 0.0208724, 0.0161575, 32.55, 501, 0, 35, 2
73707.00, -72.907857, 268.996074, 622.8754, 0.0086175, 0.0337843, 21.64, 873, 0, -289, 3
73707.00, -72.909557, 269.002765, 626.2984, 0.0208557, 0.0190623, 4.53, 126, 0, 0, 0
73707.25, -72.911451, 269.011704, 622.0410, 0.0287274, -0.0121736, 21.27, 957, 24, 359, 1
73707.25, -72.909545, 269.004205, 626.7944, 0.0200444, 0.0146425, 33.30, 505, 0, 35, 2
73707.25, -72.907638, 268.996706, 623.7658, 0.0079877, 0.0335211, 20.58, 914, 0, -289, 3
73707.25, -72.909341, 269.003402, 627.1573, 0.0193409, 0.0171009, 4.94, 130, 0, 0, 0
73707.50, -72.911236, 269.012342, 622.5585, 0.0287161, -0.0137103, 20.04, 1062, 33, 359, 1
73707.50, -72.909327, 269.004837, 627.5837, 0.0200972, 0.0138564, 34.71, 513, 0, 34, 2
73707.50, -72.907418, 268.997333, 624.6202, 0.0064764, 0.0323825, 19.65, 984, 6, -290, 3
73707.50, -72.909124, 269.004040, 627.9808, 0.0191160, 0.0168391, 6.76, 131, 0, 0, 0
73707.75, -72.911021, 269.012980, 622.9707, 0.0275571, -0.0154766, 22.19, 1145, 22, 359, 1
73707.75, -72.909110, 269.005472, 628.3120, 0.0189676, 0.0118183, 37.29, 463, 0, 34, 2
73707.75, -72.907199, 268.997964, 625.4339, 0.0059386, 0.0319453, 19.38, 1038, 8, -290, 3
73707.75, -72.908907, 269.004677, 628.7517, 0.0169175, 0.0146599, 6.28, 106, 0, 0, 0
73708.00, -72.910806, 269.013619, 623.3521, 0.0268013, -0.0171682, 22.10, 1218, 22, 359, 1
73708.00, -72.908893, 269.006108, 628.9715, 0.0181212, 0.0101517, 38.27, 452, 0, 34, 2
73708.00, -72.906980, 268.998596, 626.2110, 0.0050006, 0.0309622, 19.55, 1107, 4, -291, 3
73708.00, -72.908691, 269.005315, 629.4427, 0.0165272, 0.0133889, 3.93, 100, 0, 0, 0
73708.25, -72.910590, 269.014264, 623.6614, 0.0264833, -0.0180408, 22.58, 1305, 9, 359, 1
73708.25, -72.908676, 269.006745, 629.5958, 0.0168482, 0.0081358, 38.31, 472, 0, 34, 2
73708.25, -72.906762, 268.999226, 626.9423, 0.0043921, 0.0301563, 19.91, 1150, 5, -291, 3
73708.25, -72.908474, 269.005953, 630.0934, 0.0156677, 0.0119505, 5.16, 116, 0, 0, 0
73708.50, -72.910374, 269.014898, 623.9669, 0.0256351, -0.0198292, 21.49, 1370, 16, 359, 1
73708.50, -72.908458, 269.007375, 630.1316, 0.0147808, 0.0052570, 38.26, 476, 0, 34, 2
73708.50, -72.906541, 268.999852, 627.6231, 0.0031968, 0.0288307, 20.66, 1213, 6, -292, 3
73708.50, -72.908258, 269.006591, 630.6516, 0.0132763, 0.0091021, 5.08, 112, 0, 0, 0
73708.75, -72.910159, 269.015543, 624.1817, 0.0245337, -0.0215202, 21.28, 1403, 9, 360, 1
73708.75, -72.908241, 269.008013, 630.5840, 0.0142911, 0.0039030, 39.17, 492, 0, 34, 2
73708.75, -72.906323, 269.000484, 628.2441, 0.0023241, 0.0276886, 22.48, 1321, 4, -292, 3
73708.75, -72.908041, 269.007230, 631.1292, 0.0116619, 0.0074703, 3.87, 115, 0, 0, 0
73709.00, -72.909944, 269.016189, 624.3338, 0.0229399, -0.0236442, 20.51, 1375, 11, 360, 1
73709.00, -72.908024, 269.008651, 630.9777, 0.0135646, 0.0023623, 39.09, 506, 0, 34, 2
73709.00, -72.906105, 269.001114, 628.8007, 0.0011454, 0.0262541, 24.33, 1346, 1, -292, 3
73709.00, -72.907825, 269.007868, 631.5340, 0.0104416, 0.0058046, 4.94, 125, 1, 0, 0
73709.25, -72.909729, 269.016833, 624.4151, 0.0222513, -0.0249255, 20.72, 1390, 7, 360, 1
73709.25, -72.907807, 269.009289, 631.3087, 0.0115272, -0.0001336, 36.31, 515, 0, 34, 2
73709.25, -72.905886, 269.001745, 629.3048, 0.0000000, 0.0250443, 24.81, 1277, 5, -292, 3
73709.25, -72.907608, 269.008507, 631.8694, 0.0094917, 0.0034371, 5.46, 128, 0, 0, 0
73709.50, -72.909514, 269.017476, 624.4766, 0.0214294, -0.0265490, 20.64, 1404, 11, 360, 1
73709.50, -72.907591, 269.009927, 631.5201, 0.0089091, -0.0031078, 36.62, 529, 0, 34, 2
73709.50, -72.905667, 269.002377, 629.7447, -0.0005982, 0.0240687, 25.86, 1254, 6, -293, 3
73709.50, -72.907392, 269.009146, 632.1254, 0.0079395, 0.0010588, 4.61, 127, 0, 0, 0
73709.75, -72.909300, 269.018120, 624.4857, 0.0208380, -0.0278954, 20.59, 1498, 16, 361, 1
73709.75, -72.907374, 269.010564, 631.6675, 0.0089835, -0.0036520, 37.73, 532, 0, 34, 2
73709.75, -72.905447, 269.003008, 630.1652, -0.0004232, 0.0237615, 25.36, 1281, 14, -293, 3
73709.75, -72.907175, 269.009785, 632.2939, 0.0068379, -0.0008979, 5.45, 138, 0, 0, 0
73710.00, -72.909085, 269.018761, 624.4165, 0.0192340, -0.0298601, 19.99, 1531, 18, 361, 1
73710.00, -72.907156, 269.011199, 631.7713, 0.0071895, -0.0059813, 36.25, 523, 0, 34, 2
73710.00, -72.905227, 269.003637, 630.5065, -0.0014546, 0.0217683, 28.36, 1296, 4, -294, 3
73710.00, -72.906958, 269.010423, 632.3978, 0.0057186, -0.0032363, 4.87, 140, 0, 0, 0
73710.25, -72.908870, 269.019405, 624.2742, 0.0188821, -0.0305372, 20.33, 1529, 18, 361, 1
73710.25, -72.906939, 269.011837, 631.7673, 0.0054005, -0.0089855, 35.83, 519, 0, 33, 2
73710.25, -72.905009, 269.004269, 630.8028, -0.0022985, 0.0200660, 30.68, 1312, 3, -294, 3
73710.25, -72.906742, 269.011063, 632.4359, 0.0047608, -0.0058808, 3.56, 127, 0, 0, 0
73710.50, -72.908655, 269.020050, 624.1033, 0.0184394, -0.0312441, 20.99, 1574, 24, 361, 1
73710.50, -72.906722, 269.012474, 631.7076, 0.0057082, -0.0101994, 34.46, 541, 0, 33, 2
73710.50, -72.904789, 269.004899, 631.0588, -0.0025490, 0.0189476, 32.14, 1330, 1, -295, 3
73710.50, -72.906525, 269.011703, 632.4113, 0.0045039, -0.0075828, 3.48, 134, 0, 0, 0
73710.75, -72.908442, 269.020701, 623.8631, 0.0178534, -0.0316165, 23.60, 1603, 10, 362, 1
73710.75, -72.906506, 269.013118, 631.6152, 0.0050768, -0.0118543, 31.48, 554, 0, 34, 2
73710.75, -72.904571, 269.005535, 631.2891, -0.0027493, 0.0178890, 31.41, 1305, 3, -295, 3
73710.75, -72.906309, 269.012343, 632.3183, 0.0037011, -0.0103073, 4.98, 135, 0, 0, 0
73711.00, -72.908228, 269.021343, 623.6291, 0.0174478, -0.0320602, 24.76, 1583, 11, 362, 1
73711.00, -72.906290, 269.013757, 631.4589, 0.0044107, -0.0137576, 30.14, 532, 0, 34, 2
73711.00, -72.904352, 269.006171, 631.4964, -0.0032461, 0.0166318, 31.26, 1317, 8, -295, 3
73711.00, -72.906092, 269.012982, 632.1942, 0.0043117, -0.0117463, 4.80, 120, 0, 0, 0
73711.25, -72.908015, 269.021996, 623.3457, 0.0164602, -0.0328889, 25.50, 1559, 14, 363, 1
73711.25, -72.906074, 269.014401, 631.2915, 0.0056355, -0.0144162, 29.21, 525, 0, 34, 2
73711.25, -72.904133, 269.006805, 631.6521, -0.0040273, 0.0149816, 31.21, 1349, 9, -295, 3
73711.25, -72.905875, 269.013622, 632.0489, 0.0043571, -0.0131871, 3.81, 124, 0, 0, 0
73711.50, -72.907798, 269.022645, 623.0212, 0.0162992, -0.0324294, 26.97, 1529, 4, 363, 1
73711.50, -72.905856, 269.015039, 631.0975, 0.0038887, -0.0173968, 27.21, 507, 1, 34, 2
73711.50, -72.903915, 269.007432, 631.7695, -0.0042895, 0.0138827, 30.60, 1318, 13, -296, 3
73711.50, -72.905659, 269.014264, 631.8639, 0.0042949, -0.0142273, 3.42, 123, 2, 0, 0
73711.75, -72.907584, 269.023289, 622.7100, 0.0163783, -0.0317327, 26.42, 1504, 2, 363, 1
73711.75, -72.905640, 269.015678, 630.8423, 0.0046220, -0.0175876, 27.13, 494, 1, 34, 2
73711.75, -72.903695, 269.008067, 631.8289, -0.0048974, 0.0122953, 30.29, 1298, 14, -296, 3
73711.75, -72.905442, 269.014904, 631.6397, 0.0036406, -0.0156479, 4.55, 118, 0, 0, 0
73712.00, -72.907372, 269.023939, 622.3996, 0.0154928, -0.0320489, 24.84, 1459, 5, 364, 1
73712.00, -72.905424, 269.016322, 630.5614, 0.0036273, -0.0190105, 25.99, 508, 0, 34, 2
73712.00, -72.903476, 269.008705, 631.8293, -0.0056067, 0.0104245, 30.10, 1322, 16, -296, 3
73712.00, -72.905225, 269.015545, 631.3578, 0.0019004, -0.0173673, 3.97, 125, 0, 0, 0
73712.25, -72.907157, 269.024588, 622.0411, 0.0147481, -0.0318236, 24.74, 1444, 0, 364, 1
73712.25, -72.905208, 269.016963, 630.2363, 0.0032296, -0.0197447, 24.72, 526, 0, 34, 2
73712.25, -72.903258, 269.009338, 631.7723, -0.0057853, 0.0088966, 29.44, 1325, 16, -297, 3
73712.25, -72.905009, 269.016186, 631.0367, 0.0023293, -0.0180890, 3.32, 127, 0, 0, 0
73712.50, -72.906944, 269.025236, 621.6967, 0.0142696, -0.0317737, 23.66, 1465, 0, 364, 1
73712.50, -72.904991, 269.017605, 629.8930, 0.0030011, -0.0203160, 23.63, 521, 0, 34, 2
73712.50, -72.903038, 269.009974, 631.6644, -0.0060601, 0.0071816, 28.07, 1285, 21, -297, 3
73712.50, -72.904792, 269.016827, 630.6934, 0.0021087, -0.0193849, 3.77, 133, 0, 0, 0
73712.75, -72.906729, 269.025887, 621.3495, 0.0138601, -0.0318465, 22.19, 1515, 6, 365, 1
73712.75, -72.904775, 269.018249, 629.5213, 0.0023363, -0.0207865, 23.36, 512, 0, 34, 2
73712.75, -72.902821, 269.010611, 631.4738, -0.0063142, 0.0049137, 29.56, 1274, 12, -297, 3
73712.75, -72.904575, 269.017469, 630.3161, 0.0013605, -0.0197225, 3.88, 137, 1, 0, 0
73713.00, -72.906518, 269.026538, 620.9964, 0.0140409, -0.0313457, 20.75, 1559, 13, 365, 1
73713.00, -72.904560, 269.018895, 629.0949, 0.0007750, -0.0221876, 23.15, 488, 0, 34, 2
73713.00, -72.902602, 269.011251, 631.2550, -0.0064183, 0.0030248, 30.70, 1250, 8, -297, 3
73713.00, -72.904359, 269.018110, 629.8985, -0.0003359, -0.0207759, 3.84, 122, 0, 0, 0
73713.25, -72.906304, 269.027192, 620.5866, 0.0117801, -0.0327576, 21.55, 1605, 5, 366, 1
73713.25, -72.904344, 269.019541, 628.6142, -0.0002655, -0.0231874, 22.10, 508, 0, 34, 2
73713.25, -72.902384, 269.011891, 630.9791, -0.0062094, 0.0011285, 31.28, 1276, 5, -298, 3
73713.25, -72.904142, 269.018753, 629.4193, -0.0017747, -0.0221929, 4.28, 118, 0, 0, 0
73713.50, -72.906089, 269.027837, 620.1240, 0.0100484, -0.0337374, 21.29, 1628, 6, 366, 1
73713.50, -72.904126, 269.020176, 628.0947, -0.0014752, -0.0240861, 20.97, 549, 0, 34, 2
73713.50, -72.902163, 269.012516, 630.6897, -0.0058405, -0.0004996, 28.97, 1307, 9, -298, 3
73713.50, -72.903925, 269.019395, 628.8743, -0.0032670, -0.0235486, 4.06, 130, 1, 0, 0
73713.75, -72.905871, 269.028479, 619.5973, 0.0082472, -0.0346525, 21.22, 1649, 3, 366, 1
73713.75, -72.903906, 269.020808, 627.5216, -0.0030800, -0.0252444, 20.31, 553, 0, 33, 2
73713.75, -72.901941, 269.013138, 630.3452, -0.0058399, -0.0027059, 26.97, 1309, 11, -299, 3
73713.75, -72.903709, 269.020038, 628.2761, -0.0046035, -0.0240775, 4.02, 128, 0, 0, 0
73714.00, -72.905654, 269.029116, 619.0328, 0.0065376, -0.0357078, 21.08, 1619, 0, 366, 1
73714.00, -72.903686, 269.021439, 626.8916, -0.0044064, -0.0261828, 19.11, 549, 0, 33, 2
73714.00, -72.901718, 269.013763, 629.9656, -0.0057404, -0.0048900, 25.81, 1302, 10, -300, 3
73714.00, -72.903492, 269.020681, 627.6123, -0.0070095, -0.0257301, 4.37, 127, 0, 0, 0
73714.25, -72.905438, 269.029754, 618.4103, 0.0051874, -0.0365683, 20.88, 1587, 2, 366, 1
73714.25, -72.903467, 269.022074, 626.2017, -0.0063840, -0.0277982, 16.72, 541, 0, 33, 2
73714.25, -72.901497, 269.014393, 629.5531, -0.0051369, -0.0065614, 24.24, 1318, 14, -301, 3
73714.25, -72.903275, 269.021324, 626.8763, -0.0082267, -0.0267116, 3.82, 128, 0, 0, 0
73714.50, -72.905221, 269.030401, 617.7037, 0.0027983, -0.0382470, 20.35, 1503, 1, 366, 1
73714.50, -72.903249, 269.022710, 625.4509, -0.0073369, -0.0286161, 14.68, 529, 2, 32, 2
73714.50, -72.901276, 269.015018, 629.1379, -0.0041881, -0.0078642, 23.42, 1347, 6, -301, 3
73714.50, -72.903058, 269.021967, 626.1033, -0.0088867, -0.0273786, 3.01, 121, 0, 0, 0
73714.75, -72.905006, 269.031053, 616.9156, 0.0005721, -0.0399736, 19.55, 1394, 0, 366, 1
73714.75, -72.903031, 269.023352, 624.6874, -0.0065634, -0.0283445, 12.77, 509, 0, 32, 2
73714.75, -72.901056, 269.015651, 628.7142, -0.0035505, -0.0093791, 23.16, 1303, 12, -302, 3
73714.75, -72.902841, 269.022611, 625.3242, -0.0080252, -0.0274201, 3.16, 125, 0, 0, 0
73715.00, -72.904794, 269.031713, 616.0657, -0.0003641, -0.0408500, 18.60, 1391, 0, 367, 1
73715.00, -72.902816, 269.024003, 623.9204, -0.0068780, -0.0290864, 11.57, 514, 1, 32, 2
73715.00, -72.900838, 269.016292, 628.2531, -0.0032834, -0.0113739, 23.60, 1275, 6, -302, 3
73715.00, -72.902624, 269.023255, 624.5597, -0.0074715, -0.0278661, 3.36, 133, 0, 0, 0
73715.25, -72.904583, 269.032378, 615.1539, -0.0024306, -0.0428659, 18.38, 1400, 2, 368, 1
73715.25, -72.902602, 269.024659, 623.1110, -0.0075489, -0.0303223, 10.20, 529, 1, 33, 2
73715.25, -72.900621, 269.016939, 627.7651, -0.0033543, -0.0134629, 24.56, 1280, 1, -302, 3
73715.25, -72.902407, 269.023900, 623.7678, -0.0081276, -0.0294497, 2.83, 132, 0, 0, 0
73715.50, -72.904374, 269.033050, 614.1602, -0.0034105, -0.0438166, 17.94, 1497, 0, 369, 1
73715.50, -72.902389, 269.025319, 622.2833, -0.0066461, -0.0304757, 9.27, 531, 6, 34, 2
73715.50, -72.900405, 269.017589, 627.2718, -0.0032655, -0.0150918, 24.84, 1299, 0, -302, 3
73715.50, -72.902190, 269.024544, 622.9658, -0.0064551, -0.0294407, 3.41, 125, 0, 0, 0
73715.75, -72.904167, 269.033727, 613.1144, -0.0050814, -0.0455939, 17.28, 1606, 0, 371, 1
73715.75, -72.902178, 269.025985, 621.4598, -0.0059526, -0.0311137, 9.13, 473, 10, 35, 2
73715.75, -72.900189, 269.018242, 626.7682, -0.0030905, -0.0162616, 24.89, 1316, 0, -302, 3
